id|placename|label|plid|gnid|geom|notes
60001|Abydos|Abydos|501325||{"type":"Point","coordinates":[26.405553,40.190912]}|
60002|Acre|Acre|678010||{"type":"Point","coordinates":[35.072046,32.918629]}|
60003|Agde|Agde|147985||{"type":"Point","coordinates":[3.468434,43.314327]}|
60004|Aigues.Mortes|Aigues-Mortes||3038493|{"type":"Point","coordinates":[4.193333,43.5675]}|
60005|Alexandrie|Alexandria|727070||{"type":"Point","coordinates":[29.894432,31.205574]}|
60006|Alger|Alger|295276|2507480|{"type":"Point","coordinates":[3.068616,36.787242]}|
60013|Bône|Annaba|306090||{"type":"Point","coordinates":[7.747497,36.88176]}|
60007|Anvers|Antwerp|108747||{"type":"Point","coordinates":[4.4,51.216667]}|
60008|Armenia|Armenia|||{"type":"Point","coordinates":[35.791048,36.767346]}|A country
60009|Babylone|Babylone|893951||{"type":"Point","coordinates":[44.42,32.542]}|
60113|Barbarie|Barbarie|||{"type":"Point","coordinates":[1.11,36.5]}|A region? Barbary Coast
60110|Barcelone|Barcelona|246343||{"type":"Point","coordinates":[2.183333,41.383333]}|
60010|Bayonne|Bayonne||3034475|{"type":"Point","coordinates":[-1.474326,43.49288]}|
60011|Beyrouth|Beirut|678060||{"type":"Point","coordinates":[35.505065,33.899231]}|
60012|Black.Sea|Black Sea|||{"type":"Point","coordinates":[34,43]}|A sea
60015|Brabant|Brabant|||{"type":"Point","coordinates":[3.53,51.53]}|?
60016|Bruges|Brugge|108830||{"type":"Point","coordinates":[3.216667,51.2]}|
60017|Buca.Culfil|Buca Culfil|||{"type":"Point","coordinates":[21,38.2]}|?
60018|Buca.maris.maioris|Buca Maris Maioris|||{"type":"Point","coordinates":[29.129,41.226]}|?
60014|Bougie|Béjaïa|305142||{"type":"Point","coordinates":[5.096867,36.753741]}|
60019|Cadix|Cadix|256177||{"type":"Point","coordinates":[-6.283333,36.533333]}|Theodosia
60020|Caffa|Caffa|854743||{"type":"Point","coordinates":[35.40311,45.026756]}|
60112|Calabre|Calabre|||{"type":"Point","coordinates":[16.45752,38.993572]}|Calabria, a region of S. Italy
60021|Cap.Malee|Cap Malée|||{"type":"Point","coordinates":[23.198611,36.438056]}|
60023|Caput.Doble|Caput Doble|79646||{"type":"Point","coordinates":[1.32,51.12]}|Modern Dover
60022|Caput.Martin|Caput Martin|||{"type":"Point","coordinates":[1,50.5]}|
60111|Catalugna|Catalonia|||{"type":"Point","coordinates":[1.466667,41.816667]}|A region
60024|Cembalo|Cembalo|226770||{"type":"Point","coordinates":[33.6,44.5]}|Symbolen Limen; modern Balaklava
60025|Chios|Chios|550496||{"type":"Point","coordinates":[26.04135,38.42938]}|
60026|Civita.Vecchia|Civita Vecchia|514076||{"type":"Point","coordinates":[11.787671,42.092341]}|
60028|Collioure|Collioure|||{"type":"Point","coordinates":[3.081389,42.526667]}|
60029|Constantinople|Constantinople|520998||{"type":"Point","coordinates":[28.958939,40.988729]}|
60030|Corfou|Corfu|530834||{"type":"Point","coordinates":[19.771744,39.718361]}|Corcyra
60031|Coron|Coron|||{"type":"Point","coordinates":[21.940778,36.964036]}|?
60033|Crete|Crete|||{"type":"Point","coordinates":[25,35.2]}|An island
60032|Cotrone|Crotone|452317||{"type":"Point","coordinates":[17.116667,39.083333]}|
60034|Cyprus|Cyprus|||{"type":"Point","coordinates":[33.239826,35.019082]}|An island
60035|Damas|Damas|678106||{"type":"Point","coordinates":[36.298378,33.512199]}|Damascus
60036|Djerba|Djerba|344383||{"type":"Point","coordinates":[10.85,33.8]}|Girba
60037|Dune|Dune||3020686|{"type":"Point","coordinates":[2.32,51.05]}|Dunkirk?
60038|Durazzo|Durazzo|481818||{"type":"Point","coordinates":[19.469128,41.303976]}|Dyrrachium; modern Durres
60039|England|England|||{"type":"Point","coordinates":[-0.116667,51.5]}|A country
60040|Episkopi|Episkopi|||{"type":"Point","coordinates":[32.874638,34.660148]}|probably Kourion
60041|Famagosta|Famagosta||146617|{"type":"Point","coordinates":[33.95,35.116667]}|
60042|Flanders|Flanders|||{"type":"Point","coordinates":[3.67,51.14]}|A region
60043|Gaete|Gaeta|432734||{"type":"Point","coordinates":[13.575845,41.220392]}|Caieta
60044|Gallipoli|Gallipoli|||{"type":"Point","coordinates":[26.455,40.367222]}|A peninsular region
60045|Genoa|Genoa|383664||{"type":"Point","coordinates":[8.932778,44.411111]}|
60027|Clarence|Glarentza|570390||{"type":"Point","coordinates":[21.160558,37.934105]}|Kyllene
60046|Grenade|Granada||2517117|{"type":"Point","coordinates":[-3.600833,37.178056]}|
60066|One|Honaine||2493812|{"type":"Point","coordinates":[-1.661114,35.177762]}|
60107|Istrie|Istrie|197304|3175397|{"type":"Point","coordinates":[13.9,45.28]}|A peninsula in Craotia
60047|Jaffa|Jaffa|687931||{"type":"Point","coordinates":[34.756943,32.054303]}|Ioppe
60048|Jerusalem|Jerusalem|687928||{"type":"Point","coordinates":[35.216667,31.783333]}|
60049|Laodicée|Laodicée|668290||{"type":"Point","coordinates":[35.769889,35.513174]}|Laodicea 
60050|Limassol|Lemesos|707587||{"type":"Point","coordinates":[33.041446,34.639816]}|Neapolis/Theodosias
60109|Ligurie|Ligurie||3174725|{"type":"Point","coordinates":[8.734722,44.455556]}|A province
60051|Lisbon|Lisbon|256338||{"type":"Point","coordinates":[-9.122201,38.702488]}|
60052|Locum.Buccari|Locum Buccari|||{"type":"Point","coordinates":[3.140964,39.923538]}|??
60053|London|London|79574||{"type":"Point","coordinates":[-0.085691,51.507059]}|
60055|Malaga|Malaga|265963||{"type":"Point","coordinates":[-4.41506,36.72095]}|
60054|Majorque|Mallorca||2514239|{"type":"Point","coordinates":[2.998611,39.58539]}|An iskand
60056|Marseille|Marseille|148127||{"type":"Point","coordinates":[5.369889,43.296346]}|Massalia
60057|Maurocastron|Maurocastron|226800||{"type":"Point","coordinates":[30.316667,46.166667]}|Tyras/Ophioussa
60058|Messine|Messina|462538||{"type":"Point","coordinates":[15.560811,38.192865]}|Zancle/Messana
60059|Middlebourg|Middlebourg|||{"type":"Point","coordinates":[3.605556,51.494444]}|Dutch town, no geonames id
60060|Modon|Modon|570483||{"type":"Point","coordinates":[21.709883,36.813244]}|Methone; modern Methoni
60061|Monemvasia|Monemvasia||256795|{"type":"Point","coordinates":[23.055625,36.687586]}|Founded 6th c.
60062|Montpellier|Montpellier||2992166|{"type":"Point","coordinates":[3.877222,43.611944]}|
60063|Napoli|Napoli|433014||{"type":"Point","coordinates":[14.258106,40.825345]}|
60064|Negrepont|Negrepont||262565|{"type":"Point","coordinates":[23.769356,38.572494]}|An island, Euboea
60065|Nicosie|Nicosie|462392|146268|{"type":"Point","coordinates":[33.35,35.167]}|Nicosia
60067|Oran|Oran||2485926|{"type":"Point","coordinates":[-0.651005,35.709941]}|Founded 10c.
60068|Palerme|Palermo|462410||{"type":"Point","coordinates":[13.368583,38.120398]}|Panormus
60069|Paphos|Paphos|707596||{"type":"Point","coordinates":[32.410604,34.754114]}|
60070|Patras|Patras|570567||{"type":"Point","coordinates":[21.723553,38.247043]}|Patrae
60071|Piombino|Piombino||3170674|{"type":"Point","coordinates":[10.559041,42.934297]}|
60072|Pise|Pisa|403253||{"type":"Point","coordinates":[10.404239,43.716667]}|
60073|Portus.Camere|Portus Camere|||{"type":"Point","coordinates":[1.9,51.26]}|??
60074|Provato|Provato|||{"type":"Point","coordinates":[35.36,44.95]}|??Crimea
60075|Pula|Pula|197448||{"type":"Point","coordinates":[13.831458,44.869725]}|
60076|Ragusa|Ragusa||3201047|{"type":"Point","coordinates":[18.103544,42.640699]}|Modern Dubrovnik?
60077|Rama|Rama|||{"type":"Point","coordinates":[34.866667,31.933333]}|??
60078|Reggio.Calabre|Reggio Calabre|452416||{"type":"Point","coordinates":[15.66194,38.11139]}|
60079|Rhodes|Rhodes|590030||{"type":"Point","coordinates":[28.231354,36.452487]}|
60080|Romanie|Romanie|||{"type":"Point","coordinates":[24,39.5]}|??
60114|Rovigno|Rovigno||3191518|{"type":"Point","coordinates":[13.633333,45.083333]}|
60081|Salines|Salines||146400|{"type":"Point","coordinates":[33.629167,34.916667]}|Modern Larnaca, Cyprus
60083|Sandwich|Sandwich||2638542|{"type":"Point","coordinates":[1.339153,51.239233]}|
60082|San.Lucar|Sanlucar de Barrameda||2511306|{"type":"Point","coordinates":[-6.22755,36.5969]}|
60084|Savona|Savona||3167022|{"type":"Point","coordinates":[8.479161,44.296439]}|
60108|Sclavonie|Sclavonie|||{"type":"Point","coordinates":[15,44.5]}|??
60085|Sevilla|Sevilla|256210||{"type":"Point","coordinates":[-5.990519,37.388205]}|Hispalis
60086|Sfax|Sfax||2467454|{"type":"Point","coordinates":[10.76107,34.705987]}|Site of Thaenae
60087|Sicily|Sicily||2523118|{"type":"Point","coordinates":[14.192778,37.6425]}|An island
60088|Simisso|Simisso|||{"type":"Point","coordinates":[36.360351,41.301751]}|Modern Samsun; Roman Amisus
60089|Sinope|Sinop|857321||{"type":"Point","coordinates":[35.130209,42.011466]}|
60092|Syracuse|Siracusa|362503||{"type":"Point","coordinates":[15.284872,37.048459]}|Syracusae
60090|Sluis|Sluis||2747117|{"type":"Point","coordinates":[3.5,51.35]}|
60091|Southampton|Southampton||2637487|{"type":"Point","coordinates":[-1.395278,50.915]}|
60093|Syria|Syria||163843|{"type":"Point","coordinates":[36.4,33.5]}|A country
60094|Talamone|Talamonis||3165971|{"type":"Point","coordinates":[11.152551,42.558556]}|Formerly Telamon
60095|Tana|Tana|||{"type":"Point","coordinates":[39.335434,47.268109]}|
60096|Tenedos|Tenedos|550912||{"type":"Point","coordinates":[26.0225,39.816667]}|
60097|Thessalonique|Thessaloniki|491741||{"type":"Point","coordinates":[22.945876,40.637805]}|
60098|Tortosa|Tortosa|246369||{"type":"Point","coordinates":[0.521016,40.814375]}|Dertosa
60099|Trebizonde|Trabzon|857359||{"type":"Point","coordinates":[39.757274,41.004318]}|
60100|Tripoli.Libye|Tripoli (Libya)|344456||{"type":"Point","coordinates":[13.178665,32.901336]}|Oea
60101|Tripoli.Syria|Tripoli (Syria)||266826|{"type":"Point","coordinates":[35.816817,34.458094]}|In Lebanon, actually
60102|Tunis|Tunis|315233|2464470|{"type":"Point","coordinates":[10.165785,36.79745]}|Tunes
60103|Valencia|Valentia|266090|2509954|{"type":"Point","coordinates":[-0.291123,39.424686]}|
60104|Venice|Venice|818739154|3164603|{"type":"Point","coordinates":[12.3319,45.4398]}|
60105|Vospero|Vospero|||{"type":"Point","coordinates":[36.48,45.36]}|??
60106|Zara|Zara|197312||{"type":"Point","coordinates":[15.217873,44.121441]}|Iader
